epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7017,0.84719,5.3937,1.06266,0.00047,0.01164,0.00062,0.00052,0.49858,4.83122,0.79232,0.0701705,0.00331439,0.00331439
2,55.0955,0.68907,4.75185,0.93311,0.25676,0.14321,0.02387,0.02077,0.5427,4.21247,0.90416,0.0400388,0.0065161,0.0065161
3,78.8671,0.72423,3.78151,1.00442,0.51244,0.21105,0.21556,0.18767,0.57451,2.70398,0.93995,0.0097752,0.00958581,0.00958581
4,102.174,0.66648,2.40283,1.00271,0.64635,0.52164,0.62064,0.55869,0.47939,1.4714,0.90363,0.009406,0.009406,0.009406
5,125.416,0.59466,1.51702,0.97103,0.81082,0.78514,0.86878,0.79174,0.43489,0.88575,0.87327,0.009208,0.009208,0.009208
6,148.157,0.54249,1.0651,0.94277,0.89389,0.87582,0.92855,0.85015,0.42216,0.66131,0.86531,0.00901,0.00901,0.00901
7,170.102,0.50725,0.86127,0.92323,0.96349,0.93162,0.94837,0.89476,0.35133,0.48187,0.80773,0.008812,0.008812,0.008812
8,192.123,0.48151,0.76125,0.90672,0.96621,0.94257,0.94908,0.89571,0.3455,0.43805,0.81207,0.008614,0.008614,0.008614
9,214.042,0.46487,0.68439,0.90473,0.98601,0.94606,0.94994,0.90672,0.31992,0.38324,0.78498,0.008416,0.008416,0.008416
10,236.043,0.43289,0.64195,0.89164,0.95966,0.92061,0.94321,0.90646,0.29301,0.44938,0.78551,0.008218,0.008218,0.008218
11,257.845,0.4222,0.60363,0.88402,0.98255,0.95323,0.95032,0.91894,0.26935,0.31571,0.77427,0.00802,0.00802,0.00802
12,279.694,0.40384,0.57017,0.88281,0.98176,0.94998,0.95253,0.91917,0.27772,0.3274,0.77784,0.007822,0.007822,0.007822
13,301.454,0.39798,0.54393,0.87364,0.96802,0.9518,0.95023,0.92492,0.23977,0.30969,0.75751,0.007624,0.007624,0.007624
14,323.303,0.38178,0.52392,0.86415,0.97633,0.95095,0.95054,0.92288,0.26466,0.30299,0.76737,0.007426,0.007426,0.007426
15,346.171,0.36749,0.51373,0.8638,0.97784,0.95243,0.95098,0.93065,0.24725,0.28481,0.75365,0.007228,0.007228,0.007228
16,368.278,0.35342,0.49965,0.85603,0.97977,0.95277,0.95319,0.9322,0.2362,0.29421,0.75307,0.00703,0.00703,0.00703
17,390.115,0.34992,0.48158,0.85451,0.97617,0.95252,0.95176,0.93859,0.2104,0.25828,0.7409,0.006832,0.006832,0.006832
18,414.355,0.33397,0.46832,0.84978,0.97368,0.95379,0.95145,0.93648,0.20415,0.24951,0.73821,0.006634,0.006634,0.006634
19,437.759,0.32467,0.45419,0.84675,0.97717,0.95245,0.95559,0.93791,0.23303,0.24959,0.74549,0.006436,0.006436,0.006436
20,460.899,0.31894,0.44673,0.84287,0.97859,0.95396,0.9517,0.94005,0.19707,0.23,0.73457,0.006238,0.006238,0.006238
21,484.391,0.3087,0.43477,0.84183,0.98262,0.95397,0.95155,0.94011,0.19981,0.2303,0.73536,0.00604,0.00604,0.00604
22,507.776,0.2972,0.42564,0.83777,0.98316,0.95387,0.95188,0.93794,0.19383,0.21941,0.73692,0.005842,0.005842,0.005842
23,531.021,0.29379,0.40882,0.83731,0.97522,0.9539,0.95176,0.94206,0.17253,0.20049,0.7285,0.005644,0.005644,0.005644
24,554.208,0.28913,0.40238,0.83342,0.98394,0.95408,0.95173,0.94512,0.16835,0.19988,0.72635,0.005446,0.005446,0.005446
25,577.344,0.28554,0.40031,0.83144,0.97851,0.95484,0.95216,0.94064,0.17737,0.20352,0.73247,0.005248,0.005248,0.005248
26,600.623,0.27817,0.38944,0.83333,0.98443,0.95457,0.95209,0.94556,0.16233,0.18763,0.72489,0.00505,0.00505,0.00505
27,626.587,0.27106,0.38633,0.83081,0.97118,0.95439,0.95633,0.95006,0.16246,0.19157,0.72424,0.004852,0.004852,0.004852
28,651.553,0.26925,0.37692,0.82828,0.9801,0.95448,0.9567,0.95067,0.14643,0.17964,0.72197,0.004654,0.004654,0.004654
29,676.4,0.25819,0.36277,0.82614,0.9752,0.95408,0.95656,0.95206,0.15329,0.1861,0.72073,0.004456,0.004456,0.004456
30,701.433,0.25641,0.36458,0.8251,0.97549,0.95311,0.95641,0.9513,0.14392,0.18165,0.72059,0.004258,0.004258,0.004258
31,725.944,0.25027,0.35513,0.82485,0.97993,0.95463,0.95656,0.95242,0.14229,0.17576,0.71926,0.00406,0.00406,0.00406
32,749.319,0.24411,0.34445,0.82246,0.97587,0.95451,0.9563,0.95257,0.15181,0.1792,0.72122,0.003862,0.003862,0.003862
33,772.274,0.23645,0.3399,0.82062,0.98037,0.95462,0.95684,0.95452,0.13409,0.16977,0.71711,0.003664,0.003664,0.003664
34,795.083,0.23279,0.33544,0.8199,0.97592,0.95463,0.9569,0.9534,0.14595,0.17478,0.72008,0.003466,0.003466,0.003466
35,818.104,0.23359,0.33784,0.82005,0.97017,0.95497,0.95697,0.95385,0.13928,0.17039,0.71715,0.003268,0.003268,0.003268
36,840.922,0.22485,0.32283,0.8187,0.97592,0.95442,0.95701,0.95407,0.13505,0.17006,0.71619,0.00307,0.00307,0.00307
37,863.753,0.22249,0.31594,0.81457,0.98051,0.95478,0.95724,0.95416,0.12905,0.16094,0.71526,0.002872,0.002872,0.002872
38,886.634,0.21773,0.31536,0.81758,0.97484,0.95484,0.95694,0.95535,0.12362,0.15993,0.71475,0.002674,0.002674,0.002674
39,909.752,0.21203,0.30836,0.81498,0.98465,0.95519,0.96144,0.95907,0.12469,0.156,0.71462,0.002476,0.002476,0.002476
40,933.184,0.20973,0.30782,0.81291,0.98091,0.95483,0.96157,0.9597,0.12048,0.15053,0.71316,0.002278,0.002278,0.002278
41,985.65,0.18559,0.27539,0.80163,0.9803,0.95465,0.95419,0.95085,0.13315,0.16074,0.71443,0.00208,0.00208,0.00208
42,1007.43,0.16876,0.25443,0.79412,0.98044,0.95504,0.96166,0.95997,0.12429,0.15386,0.71184,0.001882,0.001882,0.001882
43,1029.98,0.15797,0.24136,0.79135,0.98013,0.95546,0.96158,0.96055,0.11872,0.1512,0.71065,0.001684,0.001684,0.001684
44,1051.95,0.15276,0.23837,0.79088,0.98535,0.95532,0.96622,0.9652,0.11777,0.14514,0.70942,0.001486,0.001486,0.001486
45,1073.55,0.14536,0.22963,0.78898,0.98511,0.9555,0.96207,0.96076,0.11112,0.14042,0.70976,0.001288,0.001288,0.001288
46,1095.97,0.14032,0.22549,0.7866,0.98965,0.95548,0.96658,0.96568,0.10921,0.13856,0.70945,0.00109,0.00109,0.00109
47,1120.36,0.13636,0.2207,0.78541,0.98533,0.95522,0.96649,0.96549,0.10588,0.13738,0.70843,0.000892,0.000892,0.000892
48,1148.14,0.13571,0.21807,0.78686,0.98518,0.95548,0.96673,0.96622,0.10291,0.135,0.70741,0.000694,0.000694,0.000694
49,1180.2,0.12858,0.21485,0.78846,0.9897,0.95567,0.96694,0.96647,0.09899,0.12874,0.70706,0.000496,0.000496,0.000496
50,1211.24,0.12586,0.20981,0.78368,0.98981,0.95564,0.96682,0.96646,0.09982,0.12878,0.7072,0.000298,0.000298,0.000298
